2023-05-08 11:35:39,377:INFO:TRAIN-BATCH Iter: 202500, t = 29.9280, Revenue: 0.423349, Welfare: 0.408798, Buyer_Regret: 0.000135, Seller_Regret: 0.000272, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000814, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:42,341:INFO:TRAIN-BATCH Iter: 202600, t = 31.1616, Revenue: 0.374643, Welfare: 0.348649, Buyer_Regret: 0.000121, Seller_Regret: 0.000668, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001577, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:45,169:INFO:TRAIN-BATCH Iter: 202700, t = 32.3918, Revenue: 0.415416, Welfare: 0.392342, Buyer_Regret: 0.000066, Seller_Regret: 0.000118, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000367, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:48,126:INFO:TRAIN-BATCH Iter: 202800, t = 33.6354, Revenue: 0.405858, Welfare: 0.403698, Buyer_Regret: 0.000245, Seller_Regret: 0.000149, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000788, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:51,091:INFO:TRAIN-BATCH Iter: 202900, t = 34.8803, Revenue: 0.363764, Welfare: 0.380993, Buyer_Regret: 0.000073, Seller_Regret: 0.000344, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000835, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:54,046:INFO:TRAIN-BATCH Iter: 203000, t = 36.1176, Revenue: 0.471758, Welfare: 0.444835, Buyer_Regret: 0.000140, Seller_Regret: 0.000369, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001017, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:57,030:INFO:TRAIN-BATCH Iter: 203100, t = 37.3527, Revenue: 0.373713, Welfare: 0.338269, Buyer_Regret: 0.000056, Seller_Regret: 0.000250, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000612, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:35:59,981:INFO:TRAIN-BATCH Iter: 203200, t = 38.5502, Revenue: 0.411270, Welfare: 0.426275, Buyer_Regret: 0.000120, Seller_Regret: 0.000787, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.001815, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:02,941:INFO:TRAIN-BATCH Iter: 203300, t = 39.7101, Revenue: 0.407917, Welfare: 0.398784, Buyer_Regret: 0.000098, Seller_Regret: 0.000949, Reg_Loss: 0.000001, Lag_Loss: 0.000000, Net_Loss: 0.002094, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-05-08 11:36:05,903:INFO:TRAIN-BATCH Iter: 203400, t = 40.8561, Revenue: 0.405020, Welfare: 0.399402, Buyer_Regret: 0.000191, Seller_Regret: 0.000444, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.001270, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
