2023-03-27 14:41:12,576:INFO:TRAIN-BATCH Iter: 3700, t = 42.0886, Revenue: 0.144465, Welfare: 0.142801, Buyer_Regret: 0.000013, Seller_Regret: 0.000235, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000248, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:13,679:INFO:TRAIN-BATCH Iter: 3800, t = 43.1860, Revenue: 0.125863, Welfare: 0.129996, Buyer_Regret: 0.000039, Seller_Regret: 0.000175, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000214, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:14,747:INFO:TRAIN-BATCH Iter: 3900, t = 44.2478, Revenue: 0.163472, Welfare: 0.150425, Buyer_Regret: 0.000066, Seller_Regret: 0.000188, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000254, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:15,962:INFO:TRAIN-BATCH Iter: 4000, t = 45.4532, Revenue: 0.142027, Welfare: 0.145096, Buyer_Regret: 0.000019, Seller_Regret: 0.000057, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000076, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:17,043:INFO:TRAIN-BATCH Iter: 4100, t = 46.5285, Revenue: 0.144614, Welfare: 0.155479, Buyer_Regret: 0.000033, Seller_Regret: 0.000247, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000280, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:18,128:INFO:TRAIN-BATCH Iter: 4200, t = 47.6077, Revenue: 0.153124, Welfare: 0.149319, Buyer_Regret: 0.000028, Seller_Regret: 0.000234, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000262, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:19,169:INFO:TRAIN-BATCH Iter: 4300, t = 48.6423, Revenue: 0.144055, Welfare: 0.131977, Buyer_Regret: 0.000006, Seller_Regret: 0.000204, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000211, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:20,345:INFO:TRAIN-BATCH Iter: 4400, t = 49.8116, Revenue: 0.145966, Welfare: 0.142805, Buyer_Regret: 0.000031, Seller_Regret: 0.000020, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000052, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:21,512:INFO:TRAIN-BATCH Iter: 4500, t = 50.9726, Revenue: 0.141145, Welfare: 0.129179, Buyer_Regret: 0.000014, Seller_Regret: 0.000134, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000148, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:22,695:INFO:TRAIN-BATCH Iter: 4600, t = 52.1501, Revenue: 0.126441, Welfare: 0.122415, Buyer_Regret: 0.000175, Seller_Regret: 0.000238, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000414, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:23,877:INFO:TRAIN-BATCH Iter: 4700, t = 53.3267, Revenue: 0.143311, Welfare: 0.138872, Buyer_Regret: 0.000018, Seller_Regret: 0.000022, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000041, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:24,963:INFO:TRAIN-BATCH Iter: 4800, t = 54.4068, Revenue: 0.176257, Welfare: 0.170110, Buyer_Regret: 0.000002, Seller_Regret: 0.000305, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000308, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:26,127:INFO:TRAIN-BATCH Iter: 4900, t = 55.5654, Revenue: 0.145199, Welfare: 0.140003, Buyer_Regret: 0.000015, Seller_Regret: 0.000043, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000057, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:27,195:INFO:TRAIN-BATCH Iter: 5000, t = 56.6258, Revenue: 0.155247, Welfare: 0.184353, Buyer_Regret: 0.000024, Seller_Regret: 0.000171, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000195, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:28,286:INFO:TRAIN-BATCH Iter: 5100, t = 57.7103, Revenue: 0.145644, Welfare: 0.143270, Buyer_Regret: 0.000030, Seller_Regret: 0.000136, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000166, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:29,384:INFO:TRAIN-BATCH Iter: 5200, t = 58.8016, Revenue: 0.142827, Welfare: 0.145160, Buyer_Regret: 0.000010, Seller_Regret: 0.000073, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000083, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:30,584:INFO:TRAIN-BATCH Iter: 5300, t = 59.9964, Revenue: 0.144256, Welfare: 0.133483, Buyer_Regret: 0.000016, Seller_Regret: 0.000212, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000228, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:31,905:INFO:TRAIN-BATCH Iter: 5400, t = 61.3095, Revenue: 0.141411, Welfare: 0.136234, Buyer_Regret: 0.000097, Seller_Regret: 0.000137, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000235, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:33,045:INFO:TRAIN-BATCH Iter: 5500, t = 62.4436, Revenue: 0.147431, Welfare: 0.146623, Buyer_Regret: 0.000011, Seller_Regret: 0.000155, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000166, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:34,156:INFO:TRAIN-BATCH Iter: 5600, t = 63.5490, Revenue: 0.135382, Welfare: 0.137864, Buyer_Regret: 0.000021, Seller_Regret: 0.000125, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000146, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:35,291:INFO:TRAIN-BATCH Iter: 5700, t = 64.6788, Revenue: 0.132061, Welfare: 0.146503, Buyer_Regret: 0.000014, Seller_Regret: 0.000357, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000371, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:36,424:INFO:TRAIN-BATCH Iter: 5800, t = 65.8064, Revenue: 0.173316, Welfare: 0.164556, Buyer_Regret: 0.000021, Seller_Regret: 0.000200, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000221, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:37,557:INFO:TRAIN-BATCH Iter: 5900, t = 66.9333, Revenue: 0.126999, Welfare: 0.137451, Buyer_Regret: 0.000013, Seller_Regret: 0.000040, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000054, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:38,725:INFO:TRAIN-BATCH Iter: 6000, t = 68.0957, Revenue: 0.126237, Welfare: 0.125168, Buyer_Regret: 0.000019, Seller_Regret: 0.000121, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000139, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:39,822:INFO:TRAIN-BATCH Iter: 6100, t = 69.1854, Revenue: 0.157788, Welfare: 0.173491, Buyer_Regret: 0.000156, Seller_Regret: 0.000320, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000476, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:40,949:INFO:TRAIN-BATCH Iter: 6200, t = 70.3070, Revenue: 0.144112, Welfare: 0.150505, Buyer_Regret: 0.000043, Seller_Regret: 0.000193, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000235, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:42,064:INFO:TRAIN-BATCH Iter: 6300, t = 71.4162, Revenue: 0.120508, Welfare: 0.130338, Buyer_Regret: 0.000015, Seller_Regret: 0.000461, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000476, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
2023-03-27 14:41:43,161:INFO:TRAIN-BATCH Iter: 6400, t = 72.5071, Revenue: 0.143398, Welfare: 0.138270, Buyer_Regret: 0.000024, Seller_Regret: 0.000024, Reg_Loss: 0.000000, Lag_Loss: 0.000000, Net_Loss: 0.000047, b_w_rgt: 0.000000, s_w_rgt: 0.000000, b_w_irp: 0.000000, s_w_irp: 0.000000, a_w_irp: 0.000000, update_rate: 1.000000
